Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,PostId,Id
"4923","1","5156","","2008-08-07 16:30:45","","31","16949","<p>I'm using ColdFusion to populate a template that includes HTML lists (<code>&lt;ul&gt;</code>'s).</p>

<p>Most of these aren't that long, but a few have ridiculously long lengths and could really stand to be in 2-3 columns.</p>

<p>Is there an HTML, ColdFusion or perhaps JavaScript (I have jQuery available) way to do this easily?  It's not worth some over-complicated heavy weight solution to save some scrolling.</p>
","666","","1430996","alexp206","2013-03-08 14:35:47","2015-08-30 11:09:29","Wrapping lists into columns","<javascript><jquery><html><css><cfml>","13","2","8","","","4923","820"
"7034","1","2366237","","2008-08-10 04:07:52","","528","264707","<p>I have a data structure that represents a directed graph, and I want to render that dynamically on an HTML page.  These graphs will usually be just a few nodes, maybe ten at the very upper end, so my guess is that performance isn't going to be a big deal. Ideally, I'd like to be able to hook it in with jQuery so that users can tweak the layout manually by dragging the nodes around.</p>

<p>Note: I'm not looking for a charting library.</p>
","404","","50049","","2015-07-17 06:36:17","2015-09-02 22:07:17","Graph visualization library in JavaScript","<javascript><jquery><data-structures><graph-layout>","5","1","581","","2013-11-26 13:29:23","7034","820"
"12794","1","12983","","2008-08-15 21:35:51","","3","4108","<p>I'm trying to use jQuery to format code blocks, specifically to add a <code>&lt;pre&gt;</code> tag inside the <code>&lt;code&gt;</code> tag:</p>

<pre><code>$(document).ready(function() {
$(""code"").wrapInner(""&lt;pre&gt;&lt;/pre&gt;"");
});
</code></pre>

<p>Firefox applies the formatting correctly, but IE puts the entire code block on one line. If I add an alert  </p>

<pre><code>alert($(""code"").html());
</code></pre>

<p>I see that IE has inserted some additional text into the pre tag:</p>

<pre><code>&lt;PRE jQuery1218834632572=""null""&gt;
</code></pre>

<p>If I reload the page, the number following jQuery changes.</p>

<p>If I use <code>wrap()</code> instead of <code>wrapInner()</code>, to wrap the <code>&lt;pre&gt;</code> outside the <code>&lt;code&gt;</code> tag, both IE and Firefox handle it correctly. But shouldn't <code>&lt;pre&gt;</code> work <em>inside</em> <code>&lt;code&gt;</code> as well?</p>

<p>I'd prefer to use <code>wrapInner()</code> because I can then add a CSS class to the <code>&lt;pre&gt;</code> tag to handle all formatting, but if I use <code>wrap()</code>, I have to put page formatting CSS in the <code>&lt;pre&gt;</code> tag and text/font formatting in the <code>&lt;code&gt;</code> tag, or Firefox and IE both choke. Not a huge deal, but I'd like to keep it as simple as possible.</p>

<p>Has anyone else encountered this? Am I missing something?</p>
","311","aardvark","1332690","aardvark","2012-04-25 17:02:35","2012-04-25 17:02:35","How do I add a pre tag inside a code tag with jQuery?","<javascript><jquery><html><internet-explorer>","5","0","","","","12794","820"
"13362","1","13365","","2008-08-16 21:04:17","","21","34789","<p>I've got a div that uses overflow:auto to keep the contents inside the div as it is resized and dragged around the page. I'm using some ajax to retrieve lines of text from the server, then append them to the end of the div, so the content is growing downwards. Every time this happens, I'd like to use JS to scroll the div to the bottom so the most recently added content is visible, similar to the way a chat room or command line console would work.</p>

<p>So far I've been using this snippet to do it (I'm also using jQuery, hence the $() function):</p>

<pre><code>$(""#thediv"").scrollTop = $(""#thediv"").scrollHeight;
</code></pre>

<p>However it's been giving me inconsistent results. Sometimes it works, sometimes not, and it completely ceases to work if the user ever resizes the div or moves the scroll bar manually.</p>

<p>The target browser is Firefox 3, and it's being deployed in a controlled environment so it doesn't need to work in IE at all.</p>

<p>Any ideas guys? This one's got me stumped. Thanks!</p>
","1384","Bob Somers","1892","","2009-08-18 22:10:12","2015-08-18 06:37:34","Scrolling Overflowed DIVs with JavaScript","<javascript><jquery><ajax><html><scroll>","6","0","7","","","13362","820"
"16458","1","137090","","2008-08-19 15:57:33","","4","1743","<p>I'm using ColdFusion to return a result set from a SQL database and turn it into a list.  I need some way to generate an alphabetical navigation bar for that list.  I have ColdFusion and the jQuery library available.  I'm looking to generate something like this:</p>

<pre><code>A | B | C | ...      
- A
- A
- B
- B
- B
- C
- D
</code></pre>

<p>Where clicking on one of the letters drops you down the page to the first item for that letter.  Not all 26 letters of the alphabet are necessarily in use.</p>
","666","alexp206","1065868","","2013-02-15 21:57:24","2013-02-15 21:57:24","Dynamic Alphabetical Navigation","<javascript><jquery><sql><html><coldfusion>","4","0","1","","","16458","820"
"22466","1","22613","","2008-08-22 14:19:49","","17","12358","<p>We've got a page with a ton of jQuery (approximately 2000 lines) that we want to trim down b/c it is a maintenance nightmare, and it might be easier to maintain on the server.  We've thought about using UpdatePanel for this.  However, we don't like the fact that the UpdatePanel is sending the whole page back to the server.  </p>
","1446","Macho Matt","1477076","","2012-08-11 16:15:27","2014-11-01 09:21:15","jQuery AJAX vs. UpdatePanel","<asp.net><jquery><updatepanel>","4","0","10","","","22466","820"
"24816","1","25207","","2008-08-24 02:52:42","","357","336053","<p>Does anyone know of an easy way to escape HTML from strings in <a href=""http://jquery.com/"">jQuery</a>?  I need to be able to pass an arbitrary string and have it properly escaped for display in an HTML page (preventing JavaScript/HTML injection attacks).  I'm sure it's possible to extend jQuery to do this, but I don't know enough about the framework at the moment to accomplish this.</p>
","2657","Page","894284","Haacked","2012-05-01 10:47:46","2015-09-02 06:05:04","Escaping HTML strings with jQuery","<javascript><jquery><string><escaping>","22","0","90","","","24816","820"
"26393","1","26411","","2008-08-25 16:59:09","","15","5994","<p>I've seen news of <a href=""http://github.com/jeresig/sizzle/tree/master"">John Resig's fast new selector engine named Sizzle</a> pop up in quite a few places, but I don't know what a selector engine is, nor have any of the articles given an explanation of what it is.  I know Resig is the creator of jQuery, and that Sizzle is something in Javascript, but beyond that I don't know what it is. So, what is a selector engine?</p>

<p>Thanks!</p>
","1266","pbh101","1693","Steve M","2008-08-25 22:51:07","2015-04-01 22:11:00","What is a selector engine?","<javascript><jquery><glossary><resig>","6","0","3","","","26393","820"
"26620","1","26681","","2008-08-25 18:45:27","","22","95196","<p>In my web app, I submit some form fields with jQuery <code>$.getJSON()</code> Method. I am having some problems with the encoding. The character-set of my app is <code>charset=ISO-8859-1</code> but I think these fields are submitted with <code>UTF-8</code>. </p>

<p>Does anyone know, how I can set encoding in <code>$.getJSON</code> calls? </p>
","2138","Sergio del Amo","3112243","travis","2015-08-21 18:19:21","2015-08-21 18:19:21","How to set encoding in .getJSON JQuery","<jquery><ajax><json><character-encoding>","5","1","13","","","26620","820"
"27219","1","27259","","2008-08-26 01:46:27","","3","8035","<p>Given a select with multiple option's in JQuery. </p>

<pre><code>$select = $(""&lt;select&gt;&lt;/select&gt;"");
$select.append(""&lt;option&gt;Jason&lt;/option&gt;"") //Key = 1
       .append(""&lt;option&gt;John&lt;/option&gt;"") //Key = 32
       .append(""&lt;option&gt;Paul&lt;/option&gt;"") //Key = 423
</code></pre>

<p>How should the key be stored and retrieved?</p>

<p>The ID may be an OK place but would not be guaranteed unique if I had multiple select's sharing values (and other scenarios).</p>

<p>Thanks</p>

<p>and in the spirit of TMTOWTDI.</p>

<pre><code>$option = $(""&lt;option&gt;&lt;/option&gt;"");
$select = $(""&lt;select&gt;&lt;/select&gt;"");
$select.addOption = function(value,text){
    $(this).append($(""&lt;option/&gt;"").val(value).text(text));
};

$select.append($option.val(1).text(""Jason"").clone())
       .append(""&lt;option value=32&gt;John&lt;/option&gt;"")
       .append($(""&lt;option/&gt;"").val(423).text(""Paul""))
       .addOption(""321"",""Lenny"");
</code></pre>
","1293","Jason","2641576","Jason","2015-03-06 13:59:28","2015-03-06 13:59:28","Keeping key value pairs together in HTML <select/> with JQuery?","<javascript><jquery><html>","3","0","","","","27219","820"
